@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
2.4996,-1.3456,124.439,5.22e-06,?,13.5,112.21,6.76,419,1,12.16,1,0.162741,'280706',0.219165435060859,0.0102189499884844,0.168006593827158,0.359900121344253,0.881966615561396,0.942796054063365,0.0490535220596939,0.522939575370401
1.9685,-1.3028,?,5.6132e-06,4.207e-05,50.7,199.32,10,382,1,2.048,1,0.206132,'331093',0.0739943785592914,0.563611403340474,0.470072898082435,0.302526227897033,0.470229727681726,0.927483179373667,0.877000624546781,0.989940616767853
0.714,-1.0884,92.025,4.4323e-07,?,12.5,4.3,10.59,323,1,1.024,0,0.0488872,'174738',0.374875715235248,0.307009656913579,0.372406331356615,0.0377807919867337,0.527598692569882,0.0321258269250393,0.554379025707021,0.00475698430091143
3.35,-1.3129,174.457,9.7053e-06,4.212e-05,57.9,453.15,7.59,196,1,1.024,1,0.154869,'319584',0.601413320517167,0.879927016794682,0.49506674753502,0.138623491395265,0.573124534450471,0.601955633843318,0.67551778210327,0.779024162329733
3.969,-1.3747,110.99,2.6093e-06,0.0002541,13.2,60.48,10.96,1019,1,12.16,1,0.174661,'148225',0.768662658520043,0.691793384961784,0.920672592241317,0.6893032588996,0.985600603511557,0.338107782881707,0.982192964525893,0.350489552132785
0.624,?,25.9683,4.777e-07,1.147e-05,13.3,9.63,7.06,177,1,1.024,1,0.103983,'419797',0.0607727754395455,0.489338698098436,0.252906071720645,0.588439975632355,0.803877380210906,0.230364868650213,0.901633565546945,0.42497374326922
1.37,-1.7718,?,4.936e-07,2.256e-05,14.3,18.36,11.42,236,1,0.512,1,0.0804666,'370846',0.214778712252155,0.116887322627008,0.387101875850931,0.112182863289490,0.887985824141651,0.370009650010616,0.543253995943815,0.152466781437397
4.813,?,268.926,5.3188e-07,1.327e-05,15.2,31.72,7.73,1502,0,64,0,0.194801,'414592',0.403277024161071,0.0177868504542857,0.433814578922465,0.160078995861113,0.670349217718467,0.307848675874993,0.55202300613746,0.287989023374394
1.314,-1.3748,230.426,2.792e-05,8.25e-05,273.8,83,8.08,110,1,0.256,1,0.0321642,'239899',0.921603304333985,0.782071287976578,0.989687162451446,0.313659648876637,0.873039248399436,0.225386456819251,0.252106493571773,0.671509520150721
1.159,-1.1593,223.072,1.3868e-05,6.159e-05,85.7,26.78,8.76,219,1,1.024,1,0.064142,'240766',0.140090774046257,0.0866095265373588,0.658900325652212,0.0759867508895695,0.439976774621755,0.0560887535102665,0.597181843360886,0.613827156368643
