% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 00:54:23 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
2.73700e+00,-1.69630e+00,?,?,?,?,2.02440e+00,1.18000e+01,?,?,?,?,?,4.37606e-02,1.22711e-01,2.81635e-01,5.24851e-01,8.63359e-01,?,yes
6.70000e+00,-4.04800e-01,?,?,?,?,1.76190e+00,1.67000e+01,?,?,9.39000e+00,2.00000e+02,1.02400e+00,3.01146e-02,9.52019e-02,2.40543e-01,4.85038e-01,8.48387e-01,yes,no
1.80000e+00,-9.88500e-01,?,?,?,2.37000e-05,2.16170e+00,3.01000e+01,?,?,8.22000e+00,1.61000e+02,5.12000e-01,3.94281e-02,1.16582e-01,2.75957e-01,5.22345e-01,8.63079e-01,yes,yes
3.42500e+00,-6.56500e-01,?,?,?,?,2.05640e+00,2.01000e+01,?,?,8.58000e+00,3.80000e+02,4.09600e+00,8.34876e-02,2.01207e-01,4.04501e-01,6.62262e-01,9.28009e-01,yes,yes
2.42660e+00,?,-2.35270e+00,?,?,4.51200e-05,2.02520e+00,2.75000e+01,?,?,7.40000e+00,2.15000e+02,1.02400e+00,3.12289e-02,7.03095e-02,1.39165e-01,2.44735e-01,4.91676e-01,yes,yes
3.83000e-01,-1.12110e+00,?,?,?,?,?,1.38000e+01,?,?,8.54000e+00,2.01000e+02,1.02400e+00,9.98372e-03,3.86268e-02,1.19705e-01,3.07513e-01,7.30480e-01,yes,yes
6.17000e-01,-1.58180e+00,?,?,?,?,?,2.49000e+01,?,?,1.42200e+01,1.92800e+03,6.40000e+01,7.42569e-02,1.89871e-01,3.98865e-01,6.68414e-01,9.36355e-01,no,no
2.19800e+00,-9.92000e-01,?,?,?,3.18000e-05,2.18110e+00,6.00000e+01,?,?,2.27800e+01,1.48500e+03,1.02400e+00,1.69214e-02,6.02667e-02,1.71777e-01,3.96044e-01,8.00639e-01,yes,yes
1.23000e+00,-1.70950e+00,?,?,?,?,1.78870e+00,1.72000e+01,?,?,9.84000e+00,2.88000e+02,1.02400e+00,5.05050e-02,1.39003e-01,3.11746e-01,5.62750e-01,8.82884e-01,yes,yes
1.26100e+00,-9.57000e-01,?,?,?,2.26900e-05,2.12200e+00,3.30400e+02,?,?,1.56200e+01,3.84000e+02,1.02400e+00,7.82990e-03,3.09487e-02,1.00876e-01,2.86230e-01,7.49788e-01,yes,yes
2.37400e+00,-1.66780e+00,?,?,?,5.42200e-05,1.89920e+00,2.28000e+01,?,?,8.01000e+00,2.59000e+02,2.04800e+00,7.82047e-02,1.97561e-01,4.06194e-01,6.65058e-01,9.26947e-01,yes,yes
