% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Sep 23 00:19:56 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE z_man_best NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.427e+00,?,2.231e+01,2.689e-06,2.750e+01,5.000e-03,7.400e+00,2.150e+02,1.024e+00,7.031e-02,yes,yes,305288
3.830e-01,-1.121e+00,3.320e+02,5.261e-07,1.380e+01,2.600e-02,8.540e+00,2.010e+02,1.024e+00,3.863e-02,yes,yes,299787
8.397e-01,-1.407e+00,1.962e+02,4.407e-06,4.810e+01,2.300e-01,1.003e+01,2.010e+02,5.120e-01,1.287e-01,yes,yes,271019
2.200e+00,-9.920e-01,1.834e+02,2.659e-06,6.000e+01,2.400e-02,2.278e+01,1.485e+03,1.024e+00,6.027e-02,yes,yes,156467
1.232e+00,-1.710e+00,7.408e+01,9.673e-07,1.720e+01,-3.200e-02,9.840e+00,2.880e+02,1.024e+00,1.390e-01,yes,yes,316204
1.262e+00,-9.570e-01,8.380e+02,1.146e-04,3.304e+02,1.180e-01,1.562e+01,3.840e+02,1.024e+00,3.095e-02,yes,yes,232683
2.374e+00,-1.668e+00,8.187e+01,2.784e-06,2.280e+01,1.930e-01,8.010e+00,2.590e+02,2.048e+00,1.976e-01,yes,yes,323898
2.692e+00,?,1.225e+01,1.103e-06,1.590e+01,2.400e-02,9.480e+00,4.550e+02,4.096e+00,1.518e-01,yes,yes,295670
7.029e-01,-9.957e-01,8.320e+01,1.881e-06,3.420e+01,1.300e-01,8.680e+00,1.620e+02,5.120e-01,1.434e-01,yes,yes,228006
2.689e+00,-1.221e+00,7.047e+01,2.869e-06,7.000e+01,7.100e-02,1.063e+01,2.130e+02,5.120e-01,8.549e-02,yes,yes,313087
6.290e+00,-1.172e+00,5.318e+02,1.223e-05,3.840e+01,8.000e-03,1.326e+01,2.820e+03,6.400e+01,1.486e-01,no,no,153514
3.350e+00,-1.724e+00,6.703e+01,5.997e-07,1.250e+01,-2.400e-02,9.290e+00,3.110e+02,2.048e+00,1.556e-01,yes,yes,154112
1.101e+00,-1.190e+00,6.703e+01,3.703e-06,6.440e+01,9.500e-02,2.300e+01,1.450e+03,1.024e+00,1.725e-02,yes,yes,309111
2.433e+00,-1.560e+00,1.492e+02,5.881e-06,7.480e+01,6.600e-02,9.060e+00,2.090e+02,5.120e-01,9.540e-02,yes,yes,309096
6.060e-01,-8.300e-01,8.186e+01,1.861e-05,3.399e+02,4.900e-02,1.800e+01,3.470e+02,6.400e-02,1.235e-02,yes,yes,130088
2.100e+00,-4.666e-01,2.256e+01,2.032e-07,8.100e+00,-5.400e-02,9.390e+00,4.370e+02,4.096e+00,5.254e-02,yes,yes,209755
1.546e+00,?,1.108e+01,5.814e-08,8.300e+00,2.050e-01,8.700e+00,3.480e+02,2.048e+00,2.016e-02,yes,yes,312047
4.056e+00,-1.184e+00,8.346e+01,1.044e-06,4.510e+01,3.700e-02,1.017e+01,1.990e+02,5.120e-01,1.164e-01,yes,yes,180455
3.221e+00,-1.876e+00,7.325e+01,1.846e-06,2.350e+01,-2.100e-02,9.050e+00,1.790e+02,5.120e-01,1.812e-01,yes,yes,211957
2.615e+00,-1.165e+00,4.938e+02,8.688e-06,4.140e+01,2.100e-02,8.380e+00,2.340e+02,1.024e+00,8.937e-02,yes,yes,151207
5.464e+00,-8.200e-01,7.308e+01,1.318e-06,4.310e+01,-2.200e-02,1.206e+01,2.200e+02,2.560e-01,1.242e-01,yes,no,231362
3.209e+00,?,2.019e+01,2.418e-07,1.700e+01,1.620e-01,1.160e+01,3.710e+02,1.024e+00,2.986e-02,yes,no,231231
2.346e+00,1.411e+00,1.051e+02,1.544e-06,1.410e+01,5.000e-02,1.147e+01,2.640e+02,2.048e+00,8.455e-02,yes,yes,163136
8.000e-02,-2.721e-01,5.873e+01,1.671e-07,7.300e+00,1.100e-02,9.840e+00,5.270e+02,4.096e+00,1.338e-01,yes,no,163170
4.349e+00,-1.219e+00,2.460e+02,1.915e-06,1.160e+01,1.650e-01,7.510e+00,1.323e+03,6.400e+01,1.347e-01,no,no,301981
2.960e-01,-1.216e+00,3.403e+02,1.031e-06,1.250e+01,2.350e-01,8.160e+00,5.330e+02,8.192e+00,1.019e-01,yes,no,152113
9.705e-01,-2.750e-01,2.693e+01,5.423e-07,1.250e+01,1.600e-01,1.080e+01,2.494e+03,6.400e+01,1.994e-01,no,yes,276205
4.900e-01,?,2.725e+01,1.239e-05,5.070e+01,3.600e-02,1.795e+01,6.600e+02,1.024e+00,4.874e-03,yes,yes,377179
1.240e+00,-4.640e-01,8.187e+01,7.750e-06,6.330e+01,1.680e-01,6.740e+00,1.560e+02,1.024e+00,1.070e-01,yes,no,370791
3.082e+00,-1.014e+00,1.388e+02,3.684e-06,5.070e+01,2.000e-02,1.477e+01,4.900e+02,1.024e+00,1.720e-01,yes,yes,213823
2.454e+00,-1.820e+00,5.488e+01,3.960e-07,7.300e+00,1.400e-02,7.150e+00,1.465e+03,6.400e+01,1.593e-01,no,no,286809
9.710e-01,-1.688e+00,2.865e+01,1.458e-06,8.330e+01,5.500e-02,1.147e+01,2.000e+02,2.560e-01,9.347e-03,yes,yes,373172
1.755e+00,-5.261e-01,2.346e+01,4.109e-07,1.480e+01,5.400e-02,9.390e+00,2.380e+02,1.024e+00,4.162e-02,yes,no,420398
2.170e+00,-7.461e-01,4.169e+01,5.738e-07,2.460e+01,6.800e-02,1.268e+01,3.420e+02,1.024e+00,8.054e-02,yes,yes,287364
4.667e+00,-1.373e+00,1.221e+02,8.446e-07,1.040e+01,-1.200e-02,7.440e+00,1.426e+03,6.400e+01,1.423e-01,no,yes,412982
5.915e-01,-1.740e+00,6.703e+01,8.752e-07,1.340e+01,-2.370e-01,9.000e+00,7.260e+02,8.192e+00,1.736e-01,yes,no,106709
9.370e-01,-1.697e+00,2.023e+02,2.246e-06,4.350e+01,1.360e-01,1.985e+01,9.270e+02,1.024e+00,5.787e-02,yes,yes,229185
3.780e+00,-2.862e-01,1.284e+02,5.593e-07,1.640e+01,2.000e-02,7.960e+00,3.630e+02,3.072e+00,1.341e-01,yes,yes,213630
3.355e+00,-1.939e+00,5.178e+01,3.285e-06,2.260e+01,5.500e-02,1.083e+01,1.510e+03,6.400e+01,1.186e-01,no,no,252593
2.088e+00,-1.068e+00,2.301e+02,1.454e-05,1.399e+02,3.070e-01,7.210e+00,3.190e+02,4.096e+00,7.979e-02,yes,no,252588
3.630e+00,-1.178e+00,4.055e+02,7.448e-06,2.680e+01,-2.000e-03,8.360e+00,2.320e+02,2.048e+00,1.158e-01,yes,yes,285654
1.140e+00,-1.571e+00,1.105e+02,1.037e-06,1.000e+01,-4.700e-02,7.130e+00,1.485e+03,6.400e+01,2.042e-01,no,yes,297114
1.949e+00,?,4.332e+01,4.319e-06,4.370e+01,9.600e-02,8.000e+00,2.600e+02,1.024e+00,9.273e-02,yes,no,111063
3.243e+00,-1.999e+00,4.473e+01,1.865e-06,1.820e+01,1.500e-02,1.000e+01,2.630e+02,1.024e+00,1.475e-01,yes,yes,111622
1.440e+00,-1.217e+00,5.008e+01,1.408e-06,4.900e+01,1.800e-02,9.000e+00,2.050e+02,5.120e-01,6.291e-02,yes,yes,111529
1.417e+00,-1.724e+00,7.408e+01,1.452e-06,1.610e+01,-1.800e-02,1.168e+01,2.763e+03,6.400e+01,2.582e-01,no,yes,313116
1.640e+00,-1.126e+00,2.226e+02,2.232e-05,1.575e+02,1.520e-01,2.582e+01,1.604e+03,1.024e+00,2.899e-02,yes,yes,313299
3.036e+00,-1.165e+00,9.025e+02,5.119e-05,1.230e+02,1.420e-01,1.787e+01,7.410e+02,1.024e+00,2.830e-02,yes,yes,313417
5.400e-01,-1.294e+00,1.384e+02,1.477e-04,7.198e+02,9.700e-02,2.257e+01,1.097e+03,1.024e+00,2.612e-02,yes,yes,355083
3.038e+00,-1.312e+00,6.703e+01,4.317e-06,4.200e+01,1.800e-02,1.795e+01,6.719e+03,1.280e+02,2.853e-01,no,yes,332851
