% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Thu Apr 28 15:25:25 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
9.47000e-01,-1.46630e+00,?,5.73167e+01,5.13580e-06,?,2.05160e+00,1.36300e+02,?,3.46800e+01,0.00000e+00,0.00000e+00,0.00000e+00,3.41254e-02,yes,no,293795
3.22100e+00,-1.87630e+00,?,?,1.84640e-06,1.08200e-05,1.99530e+00,2.35000e+01,-2.10000e-02,2.95550e+02,9.05000e+00,1.79000e+02,5.12000e-01,1.81242e-01,yes,yes,211957
2.61470e+00,-1.16520e+00,?,2.86555e+02,8.68840e-06,9.56200e-05,1.96620e+00,4.14000e+01,?,2.39680e+02,8.38000e+00,2.34000e+02,1.02400e+00,8.93744e-02,yes,yes,151207
5.60000e+00,-8.20000e-01,?,7.08974e+01,1.31830e-06,?,1.95900e+00,4.31000e+01,-2.20000e-02,2.30300e+01,1.20600e+01,2.20000e+02,2.56000e-01,1.24197e-01,yes,no,231362
3.20000e+00,?,-2.48200e+00,2.37070e+01,2.47650e-07,?,2.20360e+00,1.70000e+01,?,7.05000e+00,1.16000e+01,3.71000e+02,1.02400e+00,2.98625e-02,yes,no,231231
2.34600e+00,?,-2.00000e+00,?,1.55810e-06,6.88100e-05,2.05180e+00,1.41000e+01,?,4.90000e+00,1.14700e+01,2.64000e+02,2.04800e+00,8.45535e-02,yes,yes,163136
8.00000e-02,-2.72100e-01,?,?,1.67130e-07,?,1.98100e+00,7.30000e+00,?,8.32000e+00,9.84000e+00,5.27000e+02,4.09600e+00,1.33826e-01,yes,no,163170
4.34900e+00,-1.21900e+00,?,7.72381e+01,1.91540e-06,?,2.11990e+00,1.16000e+01,?,4.56000e+01,7.51000e+00,1.32300e+03,6.40000e+01,1.34745e-01,no,no,301981
1.55000e+00,-1.01600e+00,?,?,6.99140e-06,4.78500e-05,2.20200e+00,6.26000e+01,?,5.09600e+01,1.50700e+01,5.25000e+02,1.02400e+00,1.23815e-01,yes,yes,163438
9.70000e-01,-2.75000e-01,?,?,5.42310e-07,?,2.38290e+00,1.25000e+01,?,1.61250e+02,1.08000e+01,2.49400e+03,6.40000e+01,1.99427e-01,no,yes,276205
1.60500e+00,-1.30810e+00,?,2.40469e+02,1.66870e-05,5.89600e-05,1.98890e+00,7.97000e+01,?,1.48320e+02,?,?,?,8.06349e-02,?,no,292934
4.90000e-01,?,-2.13260e+00,4.25112e+01,1.23860e-05,4.08600e-05,1.81440e+00,5.07000e+01,?,9.57000e+00,1.79500e+01,6.60000e+02,1.02400e+00,4.87404e-03,yes,yes,377179
1.24000e+00,-4.64000e-01,?,7.82516e+01,7.74960e-06,?,1.66340e+00,6.33000e+01,?,1.26360e+02,6.74000e+00,1.56000e+02,1.02400e+00,1.07049e-01,yes,no,370791
1.29000e+00,-1.29310e+00,?,8.52292e+01,?,?,2.21080e+00,1.62000e+01,-1.24000e-01,2.87100e+01,?,?,?,1.30951e-01,?,no,103780
3.08200e+00,-1.01370e+00,?,?,3.68430e-06,1.37900e-04,1.62300e+00,5.07000e+01,?,1.02550e+02,1.47700e+01,4.90000e+02,1.02400e+00,1.72010e-01,yes,yes,213823
1.03000e+00,-1.67810e+00,?,2.98132e+02,4.31320e-05,1.60800e-04,1.98730e+00,3.79300e+02,1.34000e-01,5.82900e+01,8.14000e+00,7.70000e+01,6.40000e-02,1.61621e-02,yes,yes,309010
2.45000e+00,-1.81960e+00,?,?,3.96010e-07,?,1.96580e+00,7.30000e+00,?,1.47200e+01,7.15000e+00,1.46500e+03,6.40000e+01,1.59326e-01,no,no,286809
9.71000e-01,-1.68830e+00,?,?,1.45800e-06,6.29000e-05,2.05840e+00,8.33000e+01,?,4.44000e+00,1.14700e+01,2.00000e+02,2.56000e-01,9.34695e-03,yes,yes,373172
