% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Wed Jul 20 23:57:44 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
4.34900e+00,-1.21900e+00,7.72381e+01,1.16000e+01,?,4.56000e+01,7.51000e+00,1.32300e+03,6.40000e+01,1.34745e-01,no,no,301981
2.97000e-01,-1.21560e+00,1.08924e+02,1.25000e+01,?,3.44400e+01,8.16000e+00,5.33000e+02,8.19200e+00,1.01888e-01,yes,no,152113
9.70000e-01,-2.75000e-01,?,1.25000e+01,?,1.61250e+02,1.08000e+01,2.49400e+03,6.40000e+01,1.99427e-01,no,yes,276205
4.90000e-01,?,4.25112e+01,5.07000e+01,?,9.57000e+00,1.79500e+01,6.60000e+02,1.02400e+00,4.87404e-03,yes,yes,377179
1.24000e+00,-4.64000e-01,7.82516e+01,6.33000e+01,?,1.26360e+02,6.74000e+00,1.56000e+02,1.02400e+00,1.07049e-01,yes,no,370791
3.08200e+00,-1.01370e+00,?,5.07000e+01,?,1.02550e+02,1.47700e+01,4.90000e+02,1.02400e+00,1.72010e-01,yes,yes,213823
2.45000e+00,-1.81960e+00,?,7.30000e+00,?,1.47200e+01,7.15000e+00,1.46500e+03,6.40000e+01,1.59326e-01,no,no,286809
9.71000e-01,-1.68830e+00,?,8.33000e+01,?,4.44000e+00,1.14700e+01,2.00000e+02,2.56000e-01,9.34695e-03,yes,yes,373172
1.75500e+00,-5.26100e-01,3.60217e+01,1.48000e+01,?,4.35600e+01,9.39000e+00,2.38000e+02,1.02400e+00,4.16163e-02,yes,no,420398
2.17000e+00,-7.46100e-01,4.22270e+01,2.46000e+01,?,7.68000e+00,?,?,?,8.05385e-02,?,yes,287364
