@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@data
0.971,-1.6883,?,1.458e-06,6.29e-05,83.3,4.44,11.47,200,1,0.256,1,0.00934695,'373172',0.418013745453209,0.183905679965392
1.755,-0.5261,36.0217,4.1091e-07,?,14.8,43.56,9.39,238,1,1.024,0,0.0416163,'420398',0.244114574976265,0.12488877447322
2.17,-0.7461,42.227,5.738e-07,?,24.6,7.68,?,?,?,?,1,0.0805385,'287364',0.307329528732225,0.0171048534102738
4.667,-1.3728,58.5787,8.4459e-07,?,10.4,31.05,7.44,1426,0,64,1,0.142291,'412982',0.428980310680345,0.0801153474021703
0.5915,-1.7402,51.2649,?,?,13.4,17.38,9,?,1,8.192,0,0.173641,'106709',0.944357045693323,0.334218939300627
0.937,-1.6966,142.501,2.2459e-06,?,43.5,5.92,19.85,927,1,1.024,1,0.0578667,'229185',0.651259701000527,0.726645478978753
2.68,?,20.5322,?,1.87e-05,6.4,39.9,6.78,345,1,4.096,1,0.116809,'213486',0.533959965221584,0.112265275092795
3.78,-0.3394,?,6.0501e-07,0.0001163,16.4,18.54,7.96,363,1,3.072,1,0.134062,'213630',0.392676786053926,0.292204898549244
3.355,-1.9393,?,3.2846e-06,?,22.6,42,10.83,1510,0,64,0,0.118595,'252593',0.0296310351695865,0.922632915433496
3.626,-1.1777,192.945,7.4479e-06,3.033e-05,26.8,330.66,?,?,?,?,1,0.115814,'285654',0.755839497083798,0.929630998754874
1.14,-1.5712,56.7923,1.037e-06,0.001393,10,79.2,7.13,1485,0,64,1,0.204159,'297114',0.747893105261028,0.0178941197227687
1.949,?,62.0052,4.3185e-06,0.0001808,43.7,94.6,8,?,1,1.024,0,0.0927309,'111063',0.365122604183853,0.589087639003992
3.24,-1.9988,?,1.8652e-06,0.0001249,18.2,153.55,10,?,1,1.024,1,0.147537,'111622',0.849570303456858,0.99859225214459
1.44,-1.2172,50.8613,1.4075e-06,0.0001288,49,30.96,9,?,1,0.512,1,0.0629064,'111529',0.918293366907164,0.64046849287115
1.416,-1.7242,55.7354,1.4522e-06,?,16.1,125.28,11.68,2763,0,64,1,0.258199,'313116',0.532285378314555,0.963567799888551
1.6398,-1.1255,?,2.2323e-05,4.126e-05,157.5,19.57,25.82,1604,1,1.024,1,0.0289854,'313299',0.862987650791183,0.0091680777259171
3.036,-1.1652,860.327,5.1189e-05,4.244e-05,123,83.66,17.87,741,1,1.024,1,0.0282951,'313417',0.55601838673465,0.410899618640542
0.54,-1.2938,141.254,0.00014773,0.0001623,719.8,115.2,22.57,1097,1,1.024,1,0.0261202,'355083',0.866240945179015,0.95855835871771
3.038,-1.3115,?,4.317e-06,9.483e-05,42,275.59,17.95,6719,0,128,1,0.28528,'332851',0.0162216082680970,0.210642644669861
2.352,-1.5259,82.2751,2.4964e-06,2.697e-05,25.9,47.7,10.23,491,1,3.072,1,0.208746,'255445',0.246330379508436,0.934400336351246
4.9,-1.4133,?,4.3832e-06,?,22.3,229.89,10.54,2188,0,64,0,0.308321,'209352',0.595526622375473,0.601673532975838
0.82,-1.004,?,3.337e-05,5.926e-05,262.1,21.2,?,?,?,?,1,0.02026,'278854',0.249132323777303,0.100756798870862
3.8479,-1.4333,129.472,3.342e-06,3.569e-05,16,169.1,11.49,2138,0,64,1,0.218448,'332931',0.970798579743132,0.595157138304785
2.31,?,31.0335,1.9941e-07,?,8.6,3.55,8.48,2083,0,64,1,0.101626,'278693',0.140210324432701,0.966896827332675
3.91,-1.4744,96.4822,1.4223e-05,0.0003059,42.8,369.94,8.42,204,1,1.024,0,0.175267,'180977',0.142859351355582,0.948469685623422
3.44,-0.6588,144.268,?,?,15.8,32.39,8.14,361,1,4.096,0,0.0719493,'238174',0.81482142698951,0.189824156230316
0.0331,-0.8437,?,7.8535e-07,?,6.3,128,7.84,2111,0,80,1,0.271464,'191157',0.429700872860849,0.289928407873958
0.696,-0.6803,?,1.2854e-06,?,13.7,113.16,10.01,1837,0,88,1,0.216866,'359951',0.527664289344102,0.63356485310942
2.512,-0.5208,?,7.8846e-06,9.472e-05,24.4,19.38,9.79,241,1,4.096,1,0.0896585,'335105',0.991334170103073,0.624240924138576
1.165,-0.4458,?,5.6717e-07,?,10.3,52.48,7.29,187,1,1.408,0,0.163681,'259714',0.548016446176916,0.30858147284016
1.608,-1.387,172.256,8.704e-06,0.0001712,52.4,57.97,8.16,163,1,1.024,1,0.126235,'349510',0.394370730500668,0.593185220379382
2.04,?,?,3.4241e-07,?,10.4,11.31,9.07,384,1,4.096,1,0.141616,'282003',0.726332406513393,0.184522367082536
2.752,-1.4019,?,2.8419e-06,4.211e-05,68.4,39.96,9.18,243,1,1.024,1,0.0992083,'374210',0.500282519729808,0.080377108650282
0.54,-1.7949,57.9955,4.3217e-06,7.6e-05,44.7,119.51,7.13,243,1,4.096,1,0.174465,'221755',0.490763416746631,0.812589734094217
1.71,-1.2432,?,5.175e-06,7.828e-05,55.8,39,17.7,520,1,1.024,1,0.103873,'373458',0.483277509221807,0.70632237335667
5.3,-0.4337,?,8.0819e-07,2.294e-05,6.8,27.54,?,?,?,?,0,0.213529,'150314',0.872113810153678,0.183794005075470
0.937,-1.089,1381.91,0.00041119,3.155e-05,725.4,147.32,22.5,1909,1,1.024,1,0.0169694,'306757',0.479368431260809,0.724650105461478
1.95,-1.0297,?,5.3762e-06,?,60.5,32.88,15.1,459,1,1.024,1,0.097116,'306778',0.766672909958288,0.345698253950104
1.51,-1.4146,131.73,4.5309e-06,2.715e-05,45.7,30.24,12.69,332,1,1.024,1,0.125541,'208169',0.661210709251463,0.906247850973159
0.542,-1.5913,68.1855,2.3823e-05,0.0005874,295.2,66.33,18.67,813,1,1.024,1,0.048831,'425151',0.0879297866486013,0.0886607812717557
8.1,-0.7002,50.5504,6.6649e-07,?,31.3,12.36,8.16,203,1,1.024,0,0.136544,'350184',0.173712018644437,0.120241136057302
0.544,-1.0778,126.079,2.8371e-05,4.8e-05,131.7,50.28,23.3,3348,1,1.024,1,0.009013,'350311',0.354401293443516,0.95479395147413
1.063,-1.284,?,3.8255e-06,5.425e-05,29.5,15.21,9.31,168,1,1.024,1,0.0332424,'378559',0.67579747736454,0.327616337919608
0.92,-1.329,71.7872,1.427e-06,?,35.8,64.18,12.12,225,1,0.128,1,0.0759837,'284856',0.742906228872016,0.284445502096787
