@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@data
2.198,-0.992,?,?,?,3.18e-05,2.1811,60,?,?,22.78,1485,1.024,0.0169214,0.0602667,0.171777,0.396044,0.800639,'yes','yes',0.511114243185148
1.23,-1.7095,?,?,?,?,1.7887,17.2,?,?,9.84,288,1.024,0.050505,0.139003,0.311746,0.56275,0.882884,'yes','yes',0.423494525486603
1.261,-0.957,?,?,?,2.269e-05,2.122,330.4,?,?,15.62,384,1.024,0.0078299,0.0309487,0.100876,0.28623,0.749788,'yes','yes',0.448769008275121
2.374,-1.6678,?,?,?,5.422e-05,1.8992,22.8,?,?,8.01,259,2.048,0.0782047,0.197561,0.406194,0.665058,0.926947,'yes','yes',0.643325518583879
2.692,?,-2.268,?,?,?,1.9224,15.9,?,?,9.48,455,4.096,0.0691755,0.151807,0.289081,0.474151,0.769392,'yes','yes',0.888944660080597
3.3,-1.7938,?,?,?,?,1.9826,37.5,?,?,8.2,231,1.024,0.0383448,0.110285,0.260638,0.503353,0.855128,'yes','no',0.932065533008426
0.703,-0.9957,?,?,?,3.161e-05,2.1399,34.2,?,?,8.68,162,0.512,0.0520701,0.143441,0.321967,0.581015,0.896823,'yes','yes',0.716662482358515
2.69,-1.2209,?,?,?,?,2.2763,70,?,?,10.63,213,0.512,0.031416,0.0854879,0.198377,0.404829,0.82335,'yes','yes',0.735930550144985
6.29,-1.1718,?,?,?,0.0001329,1.8576,38.4,?,?,13.26,2820,64,0.0528696,0.148584,0.335609,0.599798,0.90722,'no','no',0.452615630580112
3.35,-1.7132,?,?,?,?,2.905,12.5,?,?,9.29,311,2.048,0.0585889,0.155611,0.337048,0.587704,0.892169,'yes','yes',0.676292027113959
1.1,-1.1896,?,?,?,9.997e-05,2.0197,64.4,?,?,23,1450,1.024,0.00551507,0.0172518,0.0463625,0.115916,0.412009,'yes','yes',0.435324483085424
2.433,-1.56,?,?,?,?,2.1677,74.8,?,?,9.06,209,0.512,0.0304007,0.0953979,0.24335,0.499351,0.866384,'yes','yes',0.86898432392627
0.606,-0.83,?,?,?,1.402e-05,1.9805,339.9,?,?,18,?,0.064,0.00412665,0.0123453,0.0313572,0.0724646,0.223949,'yes','yes',0.188130215043202
0.4428,-0.4666,?,?,?,8.364e-06,2.7283,8.1,?,?,9.39,437,4.096,0.0187787,0.052543,0.128091,0.282175,0.690975,'yes','yes',0.293796443147585
1.545,?,-3.3547,?,?,?,2.2331,8.3,?,?,?,?,?,0.00643553,0.0201623,0.0549656,0.139633,0.451003,?,'yes',0.366292034974322
0.783,-1.7367,?,?,?,0.0001085,2.7826,15.1,?,?,7,1260,64,0.130697,0.290466,0.529428,0.770998,0.960069,'no','no',0.795362242963165
4.045,-1.1843,?,?,?,5.761e-06,1.8758,45.1,?,?,10.17,199,0.512,0.0395367,0.11637,0.275864,0.524496,0.865239,'yes','yes',0.338399552972987
0.947,-1.4663,?,?,?,?,2.0516,136.3,?,?,0,0,0,0.0127163,0.0341254,0.0794585,0.167269,0.450923,'yes','no',0.751310729188845
3.221,-1.8763,?,?,?,1.082e-05,1.9953,23.5,?,?,9.05,179,0.512,0.0723053,0.181242,0.374104,0.623967,0.904462,'yes','yes',0.729605786502361
2.6147,-1.1652,?,?,?,9.562e-05,1.9662,41.4,?,?,8.38,234,1.024,0.0278307,0.0893744,0.229896,0.474497,0.848095,'yes','yes',0.441781628876925
5.11,-0.6852,?,?,?,?,2.0031,16.5,?,?,13.36,3110,64,0.094213,0.227997,0.448658,0.70236,0.938841,'no','yes',0.237425541970879
5.6,-0.82,?,?,?,?,1.959,43.1,?,?,12.06,220,0.256,0.0443978,0.124197,0.286572,0.540613,0.878453,'yes','no',0.168393364176154
3.2,?,-2.482,?,?,?,2.2036,17,?,?,11.6,371,1.024,0.0104053,0.0298625,0.0751342,0.175466,0.527443,'yes','no',0.283871429041028
2.346,?,-2,?,?,6.881e-05,2.0518,14.1,?,?,11.47,264,2.048,0.0261758,0.0845535,0.219099,0.456582,0.831836,'yes','yes',0.913192942272872
0.08,-0.2721,?,?,?,?,1.981,7.3,?,?,9.84,527,4.096,0.0488818,0.133826,0.299815,0.544481,0.871055,'yes','no',0.529847416095436
2.4996,-1.3456,?,?,?,?,1.8739,13.5,?,?,6.76,419,12.16,0.0598992,0.162741,0.357331,0.621059,0.913419,'yes','yes',0.0613010316155851
4.349,-1.219,?,?,?,?,2.1199,11.6,?,?,7.51,1323,64,0.0471053,0.134745,0.310668,0.569208,0.890869,'no','no',0.368131023598835
0.83,?,-2.9137,?,?,3.287e-05,2.1616,9.4,?,?,8.76,2020,64,0.0237294,0.0592313,0.129439,0.253609,0.574142,'no','yes',0.195301184197888
0.297,-1.2156,?,?,?,?,1.9336,12.5,?,?,8.16,533,8.192,0.0331857,0.101888,0.251927,0.499141,0.856894,'yes','no',0.790368014015257
1.605,-1.3081,?,?,?,5.896e-05,1.9889,79.7,?,?,?,?,?,0.0243593,0.0806349,0.214599,0.459857,0.844664,?,'no',0.337764765368775
1.14,-1.5712,?,?,?,0.001393,1.7782,10,?,?,7.13,1485,64,0.0826153,0.204159,0.412969,0.668448,0.927254,'no','yes',0.775979808531702
0.49,?,-2.1326,?,?,4.086e-05,1.8144,50.7,?,?,17.95,660,1.024,0.0016872,0.00487404,0.0123024,0.0289463,0.0956591,'yes','yes',0.543463338632137
1.24,-0.464,?,?,?,?,1.6634,63.3,?,?,6.74,156,1.024,0.0429143,0.107049,0.227072,0.420936,0.822166,'yes','no',0.637118207290769
1.29,-1.2931,?,?,?,?,2.2108,16.2,?,?,?,?,?,0.0451748,0.130951,0.305197,0.564158,0.889024,?,'no',0.630470968550071
2.58,?,-2.1383,?,?,?,?,19.8,?,?,?,?,?,0.0662657,0.153556,0.308127,0.533669,0.871818,?,'no',0.513817784376442
1.03,-1.6781,?,?,?,0.0001608,1.9873,379.3,?,?,8.14,77,0.064,0.00412959,0.0161621,0.0535725,0.16569,0.604508,'yes','yes',0.680095724761486
2.45,-1.8196,?,?,?,?,1.9658,7.3,?,?,7.15,1465,64,0.0613414,0.159326,0.340478,0.589463,0.892164,'no','no',0.465704737463966
0.971,-1.6883,?,?,?,6.29e-05,2.0584,83.3,?,?,11.47,200,0.256,0.00319589,0.00934695,0.0240011,0.0577862,0.198839,'yes','yes',0.940414645709097
3.24,-1.9988,?,?,?,0.0001249,1.9995,18.2,?,?,10,?,1.024,0.0606613,0.147537,0.306044,0.537993,0.872718,'yes','yes',0.156808614963666
2.17,-0.7461,?,?,?,?,2.1291,24.6,?,?,?,?,?,0.0290857,0.0805385,0.192442,0.405639,0.819759,?,'yes',0.177779422374442
4.667,-1.3728,?,?,?,?,1.6561,10.4,?,?,7.44,1426,64,0.050905,0.142291,0.320991,0.577184,0.891943,'no','yes',0.784290300915018
2.821,-1.1188,?,?,?,1.914e-05,1.9588,42,?,?,16,?,0.512,0.00640849,0.0263409,0.088869,0.26106,0.723674,'yes','yes',0.96384439081885
0.5915,-1.7402,?,?,?,?,1.9677,13.4,?,?,9,?,8.192,0.0674093,0.173641,0.365446,0.618128,0.90556,'yes','no',0.0671715219505131
0.937,-1.6966,?,?,?,?,2.0345,43.5,?,?,19.85,927,1.024,0.0163189,0.0578667,0.165031,0.38355,0.790834,'yes','yes',0.824539438821375
2.68,?,-2.171,?,?,1.87e-05,2.1018,6.4,?,?,6.78,345,4.096,0.0427832,0.116809,0.264559,0.494069,0.836843,'yes','yes',0.142518073087558
3.78,-0.3394,?,?,?,0.0001163,2.0816,16.4,?,?,7.96,363,3.072,0.0465636,0.134062,0.309714,0.567264,0.888614,'yes','yes',0.438537270063534
3.375,-1.8856,?,?,?,5.13e-05,2.2281,12.4,?,?,7.12,1011,64,0.0916913,0.213445,0.415789,0.663283,0.924971,'no','yes',0.296913454076275
0.836,-1.4067,?,?,?,7.481e-05,2.0303,48.1,?,?,10.03,201,0.512,0.0440804,0.128738,0.302434,0.56311,0.890028,'yes','yes',0.658888409845531
3.355,-1.9393,?,?,?,?,?,22.6,?,?,10.83,1510,64,0.0478428,0.118595,0.252427,0.465201,0.839612,'no','no',0.548392610391602
3.626,-1.1777,?,?,?,3.033e-05,1.5239,26.8,?,?,?,?,?,0.0386933,0.115814,0.278748,0.535223,0.878471,?,'yes',0.305499035865068
1.949,?,-2.061,?,?,0.0001808,2.0068,43.7,?,?,8,?,1.024,0.0395625,0.0927309,0.189045,0.339926,0.683048,'yes','no',0.783770223846659
1.755,-0.5261,?,?,?,?,2.3217,14.8,?,?,9.39,238,1.024,0.0153159,0.0416163,0.0988667,0.214415,0.570274,'yes','no',0.885968739632517
1.44,-1.2172,?,?,?,0.0001288,1.9554,49,?,?,9,?,0.512,0.0229994,0.0629064,0.149214,0.319462,0.75627,'yes','yes',0.78558308398351
1.416,-1.7242,?,?,?,?,1.8681,16.1,?,?,11.68,2763,64,0.11326,0.258199,0.484948,0.731382,0.947488,'no','yes',0.456985548837110
