% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 11:18:43 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
5.11000e+00,-6.85200e-01,?,?,?,?,2.00310e+00,1.65000e+01,?,?,1.33600e+01,3.11000e+03,6.40000e+01,no,yes
5.60000e+00,-8.20000e-01,?,?,?,?,1.95900e+00,4.31000e+01,?,?,1.20600e+01,2.20000e+02,2.56000e-01,yes,no
3.20000e+00,?,-2.48200e+00,?,?,?,2.20360e+00,1.70000e+01,?,?,1.16000e+01,3.71000e+02,1.02400e+00,yes,no
2.34600e+00,?,-2.00000e+00,?,?,6.88100e-05,2.05180e+00,1.41000e+01,?,?,1.14700e+01,2.64000e+02,2.04800e+00,yes,yes
8.00000e-02,-2.72100e-01,?,?,?,?,1.98100e+00,7.30000e+00,?,?,9.84000e+00,5.27000e+02,4.09600e+00,yes,no
2.49960e+00,-1.34560e+00,?,?,?,?,1.87390e+00,1.35000e+01,?,?,6.76000e+00,4.19000e+02,1.21600e+01,yes,yes
4.34900e+00,-1.21900e+00,?,?,?,?,2.11990e+00,1.16000e+01,?,?,7.51000e+00,1.32300e+03,6.40000e+01,no,no
8.30000e-01,?,-2.91370e+00,?,?,3.28700e-05,2.16160e+00,9.40000e+00,?,?,8.76000e+00,2.02000e+03,6.40000e+01,no,yes
2.97000e-01,-1.21560e+00,?,?,?,?,1.93360e+00,1.25000e+01,?,?,8.16000e+00,5.33000e+02,8.19200e+00,yes,no
1.60500e+00,-1.30810e+00,?,?,?,5.89600e-05,1.98890e+00,7.97000e+01,?,?,?,?,?,?,no
