% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Sep  6 02:24:03 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
3.082e+00,-1.014e+00,1.388e+02,3.684e-06,5.070e+01,2.000e-02,1.026e+02,4.900e+02,1.024e+00,1.720e-01,yes,yes,213823
2.450e+00,-1.820e+00,5.488e+01,3.960e-07,7.300e+00,1.400e-02,1.472e+01,1.465e+03,6.400e+01,1.593e-01,no,no,286809
9.710e-01,-1.688e+00,2.865e+01,1.458e-06,8.330e+01,5.500e-02,4.440e+00,2.000e+02,2.560e-01,9.347e-03,yes,yes,373172
1.755e+00,-5.261e-01,2.346e+01,4.109e-07,1.480e+01,5.400e-02,4.356e+01,2.380e+02,1.024e+00,4.162e-02,yes,no,420398
2.170e+00,-7.461e-01,4.169e+01,5.738e-07,2.460e+01,6.800e-02,7.680e+00,?,?,8.054e-02,?,yes,287364
4.667e+00,-1.373e+00,1.221e+02,8.446e-07,1.040e+01,-1.200e-02,3.105e+01,1.426e+03,6.400e+01,1.423e-01,no,yes,412982
5.915e-01,-1.740e+00,6.703e+01,8.752e-07,1.340e+01,-2.370e-01,1.738e+01,?,8.192e+00,1.736e-01,yes,no,106709
9.370e-01,-1.697e+00,2.023e+02,2.246e-06,4.350e+01,1.360e-01,5.920e+00,9.270e+02,1.024e+00,5.787e-02,yes,yes,229185
2.680e+00,?,3.682e+01,2.666e-07,6.400e+00,3.500e-02,3.990e+01,3.450e+02,4.096e+00,1.168e-01,yes,yes,213486
3.780e+00,-2.862e-01,1.284e+02,5.593e-07,1.640e+01,2.000e-02,1.854e+01,3.630e+02,3.072e+00,1.341e-01,yes,yes,213630
