% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Jul 18 22:35:52 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.42510e+00,3.37511e+01,1.87200e-06,2.13000e+01,?,1.51590e+02,1.31800e+01,3.08500e+03,6.40000e+01,1.18896e-01,no,no,359378
?,-1.46970e+00,?,5.34240e-06,8.27000e+01,3.56000e-01,9.79000e+01,7.94000e+00,1.04000e+02,2.56000e-01,7.77506e-02,yes,no,424998
?,-1.36330e+00,1.15890e+02,3.74540e-06,3.59000e+01,?,1.50970e+02,8.20000e+00,3.31000e+02,2.04800e+00,1.38733e-01,yes,yes,337073
?,-1.58700e+00,1.44371e+02,9.61200e-06,7.42000e+01,?,3.84780e+02,1.61200e+01,2.91300e+03,6.40000e+01,1.66427e-01,no,no,283791
?,?,2.53459e+01,3.26780e-06,1.46000e+01,?,2.51720e+02,8.66000e+00,1.87300e+03,1.68000e+02,9.59516e-02,no,no,156434
?,-1.83180e+00,5.38770e+01,8.89780e-06,5.21000e+01,?,3.71280e+02,7.72000e+00,1.20000e+02,2.56000e-01,1.17935e-01,yes,yes,371050
?,-1.72120e+00,4.36109e+01,3.48890e-07,1.08000e+01,?,4.20000e+00,7.30000e+00,1.68000e+02,1.02400e+00,9.61259e-02,yes,yes,315819
?,-1.65400e+00,6.94444e+01,1.40020e-06,1.30000e+01,?,2.25600e+01,8.16000e+00,4.53000e+02,8.19200e+00,1.60061e-01,yes,no,231974
?,-1.26630e+00,?,1.17350e-05,1.27100e+02,?,7.52100e+01,7.71000e+00,2.10000e+02,1.02400e+00,1.01115e-01,yes,no,227996
?,-1.94520e+00,?,3.52070e-06,1.85000e+01,?,1.30720e+02,7.19000e+00,1.12700e+03,6.40000e+01,2.20132e-01,no,no,423181
?,-1.52500e+00,5.11339e+01,7.88420e-07,1.09000e+01,?,5.45300e+01,?,?,?,1.77988e-01,?,no,423184
?,?,3.09253e+01,7.46230e-07,1.31000e+01,2.45000e-01,1.12980e+02,7.10000e+00,5.45000e+02,8.19200e+00,1.98791e-01,yes,no,176620
?,?,?,2.04410e-06,1.73000e+01,-1.09000e-01,5.98500e+01,7.76000e+00,3.97000e+02,8.19200e+00,1.32557e-01,yes,no,210084
?,-1.24240e+00,2.55319e+02,2.14170e-05,1.56500e+02,1.56000e-01,2.27520e+02,1.01300e+01,1.09000e+02,6.40000e-02,2.94434e-02,yes,yes,348152
?,-1.48190e+00,4.85118e+01,1.07370e-06,1.35000e+01,2.31000e-01,1.47520e+02,8.43000e+00,3.12000e+02,2.04800e+00,1.56457e-01,yes,no,348650
?,-1.82130e+00,3.25565e+01,3.12950e-06,6.17000e+01,4.51000e-01,8.58400e+01,8.91000e+00,3.37000e+02,2.04800e+00,6.73838e-02,yes,no,348428
