% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Sep 19 00:52:24 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.580e+00,1.000e+02,8.059e-07,2.530e+01,-3.000e-03,1.744e+01,1.300e+01,5.000e+02,1.024e+00,1.095e-01,yes,no,116116
?,?,1.311e+01,6.222e-08,5.300e+00,?,6.360e+00,6.710e+00,3.810e+02,4.096e+00,7.421e-02,yes,no,251863
?,?,3.679e+01,1.934e-07,7.500e+00,1.350e-01,4.760e+00,6.530e+00,2.070e+02,2.048e+00,9.330e-02,yes,yes,337115
?,-1.105e+00,1.179e+02,1.674e-06,4.210e+01,9.400e-02,1.111e+01,8.340e+00,1.330e+02,2.560e-01,1.084e-01,yes,no,206257
?,-1.751e+00,6.930e+01,6.458e-07,6.200e+00,7.500e-02,4.307e+01,9.470e+00,1.801e+03,6.400e+01,2.083e-01,no,no,207281
?,-1.720e+00,7.236e+01,3.017e-07,8.400e+00,3.200e-01,1.045e+01,6.470e+00,3.520e+02,5.504e+00,1.260e-01,yes,no,164279
?,-1.873e+00,5.655e+01,3.606e-07,1.230e+01,3.050e-01,9.600e+00,7.610e+00,2.800e+02,2.048e+00,1.444e-01,yes,no,261132
?,-1.901e+00,6.376e+01,5.112e-06,5.050e+01,6.600e-02,1.326e+01,1.208e+01,4.660e+02,1.024e+00,6.532e-02,yes,yes,283320
?,-1.552e+00,1.568e+02,7.789e-06,4.880e+01,3.760e-01,3.612e+01,9.010e+00,1.950e+02,1.024e+00,1.381e-01,yes,no,282808
?,-1.288e+00,3.004e+02,2.736e-07,9.600e+00,1.830e-01,2.460e+00,7.070e+00,1.820e+02,1.024e+00,5.225e-02,yes,no,345945
?,-1.941e+00,4.484e+01,1.135e-06,1.100e+01,3.700e-02,5.504e+02,8.670e+00,4.400e+02,4.096e+00,1.984e-01,yes,no,231702
?,-1.278e+00,1.051e+02,4.349e-06,5.870e+01,2.850e-01,7.014e+01,9.100e+00,2.270e+02,1.024e+00,1.852e-01,yes,yes,334112
?,-1.295e+00,2.014e+02,2.379e-05,1.739e+02,2.850e-01,1.592e+02,1.561e+01,4.920e+02,1.024e+00,9.015e-02,yes,no,224552
?,-9.540e-01,1.881e+02,9.112e-06,1.019e+02,1.020e-01,1.584e+01,7.170e+00,8.300e+01,2.560e-01,5.798e-02,yes,no,224364
?,-1.619e+00,1.649e+02,9.493e-06,8.510e+01,-1.700e-02,6.897e+01,7.540e+00,1.830e+02,1.024e+00,1.154e-01,yes,yes,380311
?,?,3.286e+01,7.049e-07,1.280e+01,5.000e-02,3.584e+01,1.208e+01,3.014e+03,8.000e+01,1.519e-01,no,no,277571
