% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:28 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE grb {yes, no}
@ATTRIBUTE Q_hat_train {yes, no}
@ATTRIBUTE Z {yes, no}
@ATTRIBUTE A {yes, no}
@ATTRIBUTE EP0 {yes, no}
@ATTRIBUTE FL {yes, no}
@ATTRIBUTE MAX_SNR {yes, no}
@ATTRIBUTE NH_PC {yes, no}
@ATTRIBUTE T90 {yes, no}
@ATTRIBUTE bat_image_signif {yes, no}
@ATTRIBUTE bat_img_peak {yes, no}
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE bat_trigger_dur {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE PROB_Z_GT_4 {yes, no}

@DATA
090812,6.115e-01,2.452e+00,-1.292e+00,1.515e+02,1.173e-05,7.850e+01,2.300e-02,9.976e+01,1.025e+01,2.600e+02,yes,1.024e+00,yes,1.286e-01
080210,4.888e-01,2.641e+00,-1.752e+00,9.002e+01,2.737e-06,3.660e+01,1.170e-01,4.389e+01,1.785e+01,4.514e+03,no,8.000e+01,yes,1.535e-01
090205,3.376e-01,4.650e+00,-8.902e-01,4.491e+01,1.923e-07,1.300e+01,4.100e-02,1.068e+01,8.160e+00,3.970e+02,yes,4.096e+00,no,1.256e-01
060223A,5.700e-02,4.410e+00,-1.008e+00,7.401e+01,6.762e-07,1.800e+01,-1.500e-02,8.400e+00,9.990e+00,2.690e+02,yes,1.024e+00,yes,1.402e-01
081222,8.125e-01,2.770e+00,-1.037e+00,1.362e+02,7.306e-06,1.476e+02,3.100e-02,3.348e+01,8.080e+00,1.150e+02,yes,2.560e-01,yes,5.655e-02
100513A,3.344e-01,4.772e+00,-1.652e+00,6.452e+01,2.075e-06,2.330e+01,1.400e-02,6.510e+01,1.040e+01,9.280e+02,yes,1.216e+01,no,2.276e-01
060526,6.768e-01,3.221e+00,-1.876e+00,?,1.846e-06,2.350e+01,-2.100e-02,2.955e+02,9.050e+00,1.790e+02,yes,5.120e-01,yes,1.812e-01
050820A,6.782e-01,2.615e+00,-1.165e+00,2.866e+02,8.688e-06,4.140e+01,2.100e-02,2.397e+02,8.380e+00,2.340e+02,yes,1.024e+00,yes,8.937e-02
060522,2.926e-01,5.110e+00,-6.852e-01,7.695e+01,1.216e-06,1.650e+01,-1.000e-03,7.410e+01,1.336e+01,3.110e+03,no,6.400e+01,yes,2.280e-01
070306,5.129e-01,1.497e+00,-1.671e+00,1.050e+02,9.043e-06,8.540e+01,3.160e-01,2.614e+02,9.850e+00,7.050e+02,yes,1.216e+01,no,1.261e-01
