@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
1.24,-0.464,?,78.2516,7.7496e-06,?,1.6634,63.3,?,126.36,6.74,156,1.024,0.107049,'yes','no','370791',0.802809731801972,0.16402586735785,0.81233989726752,0.664963857270777
1.29,-1.2931,?,85.2292,?,?,2.2108,16.2,-0.124,28.71,?,?,?,0.130951,?,'no','103780',0.593358348822221,0.0390102546662092,0.278783318353817,0.0209987128619105
3.082,-1.0137,?,?,3.6843e-06,0.0001379,1.623,50.7,?,102.55,14.77,490,1.024,0.17201,'yes','yes','213823',0.200994161190465,0.505449140444398,0.452742214314640,0.166874048998579
1.03,-1.6781,?,298.132,4.3132e-05,0.0001608,1.9873,379.3,0.134,58.29,8.14,77,0.064,0.0161621,'yes','yes','309010',0.55133352195844,0.0493332208134234,0.346634369110689,0.588336394866928
2.45,-1.8196,?,?,3.9601e-07,?,1.9658,7.3,?,14.72,7.15,1465,64,0.159326,'no','no','286809',0.0895695809740573,0.291100754635409,0.923111401498318,0.981367216678336
0.971,-1.6883,?,?,1.458e-06,6.29e-05,2.0584,83.3,?,4.44,11.47,200,0.256,0.00934695,'yes','yes','373172',0.285008647013456,0.316212031058967,0.296295861247927,0.184469316387549
3.24,-1.9988,?,?,1.8652e-06,0.0001249,1.9995,18.2,?,153.55,10,?,1.024,0.147537,'yes','yes','111622',0.405545204412192,0.206474328646436,0.800214447081089,0.726222029421479
2.17,-0.7461,?,42.227,5.738e-07,?,2.1291,24.6,?,7.68,?,?,?,0.0805385,?,'yes','287364',0.434659038437530,0.475371873471886,0.174230017000809,0.0429547124076635
4.667,-1.3728,?,58.5787,8.4459e-07,?,1.6561,10.4,-0.012,31.05,7.44,1426,64,0.142291,'no','yes','412982',0.224464980885386,0.709031182108447,0.354948705760762,0.714554983656853
2.821,-1.1188,?,187.41,1.7169e-05,1.914e-05,1.9588,42,?,9.8,16,?,0.512,0.0263409,'yes','yes','131560',0.0515715559013188,0.736733234021813,0.090344370342791,0.0518904188647866
0.5915,-1.7402,?,51.2649,?,?,1.9677,13.4,-0.237,17.38,9,?,8.192,0.173641,'yes','no','106709',0.204097459325567,0.995823858305812,0.787895448738709,0.967374389292672
0.937,-1.6966,?,142.501,2.2459e-06,?,2.0345,43.5,?,5.92,19.85,927,1.024,0.0578667,'yes','yes','229185',0.591529525117949,0.972370784031227,0.843701225006953,0.549241627566516
2.68,?,-2.171,20.5322,?,1.87e-05,2.1018,6.4,?,39.9,6.78,345,4.096,0.116809,'yes','yes','213486',0.821077405009419,0.885254758410156,0.614557350054383,0.804792835842818
3.78,-0.3394,?,?,6.0501e-07,0.0001163,2.0816,16.4,?,18.54,7.96,363,3.072,0.134062,'yes','yes','213630',0.559812522493303,0.38203865243122,0.028270356124267,0.397659497568384
3.375,-1.8856,?,?,2.1505e-06,5.13e-05,2.2281,12.4,0.192,90.24,7.12,1011,64,0.213445,'no','yes','346386',0.769528978038579,0.609006388345733,0.361035499488935,0.16289955470711
