@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
1.314,-1.3748,?,230.426,2.792e-05,8.25e-05,1.9035,273.8,0.118,83,8.08,110,0.256,0.0321642,'yes','yes','239899',0.619686584919691,0.207885176176205,0.623519444838166,0.26401791209355,0.719209523871541,0.262204663129523,0.417288224445656,0.923694914672524
1.159,-1.1593,?,223.072,1.3868e-05,6.159e-05,1.8631,85.7,0.133,26.78,8.76,219,1.024,0.064142,'yes','yes','240766',0.9293292905204,0.558656446635723,0.522471815114841,0.364548617741093,0.574964172206819,0.232918175170198,0.807377748424187,0.497552628163248
3,-1.6129,?,130.059,8.9949e-06,3.213e-05,2.1317,84.9,?,267.54,11.48,332,1.024,0.121287,'yes','yes','357512',0.291356804547831,0.761208769632503,0.0450150179676712,0.922298163874075,0.97014716011472,0.852532827993855,0.797247180482373,0.50446131778881
6.7,-0.4048,?,?,7.5965e-07,?,1.7619,16.7,?,8.19,9.39,200,1.024,0.0952019,'yes','no','324561',0.534742255462334,0.105776064796373,0.553244096459821,0.662013956345618,0.208637511124834,0.312290308531374,0.130556619726121,0.106552833458409
1.489,-1.5457,?,146.355,1.3632e-05,?,1.9074,80.6,?,103.24,10.8,295,1.024,0.0942382,'yes','yes','205851',0.546650009695441,0.706897301133722,0.227362847188488,0.0654030113946646,0.147446237737313,0.355130061972886,0.114710448775440,0.138104632264003
2.625,-0.8031,?,?,1.0975e-06,8.603e-06,2.1515,17.7,?,79.79,8.87,1732,64,0.200246,'no','yes','353540',0.0477758110500872,0.367266231682152,0.937665392411873,0.0209255972877145,0.104895983589813,0.256874601356685,0.308440229389817,0.189418401336297
4.41,-1.008,?,?,6.7621e-07,?,2.0258,18,-0.015,8.4,9.99,269,1.024,0.140174,'yes','yes','192059',0.0708392425440252,0.185739192645997,0.364026879193261,0.901320000877604,0.873593099415302,0.366667842492461,0.279516252456233,0.138293020427227
5.11,-0.6852,?,?,1.2156e-06,?,2.0031,16.5,-0.001,74.1,13.36,3110,64,0.227997,'no','yes','211117',0.373992633773014,0.807773990323767,0.8475734712556,0.540729756932706,0.560908081708476,0.85655505140312,0.754599220585078,0.564098342321813
2.737,-1.6963,?,?,?,?,2.0244,11.8,?,192.92,?,?,?,0.122711,?,'yes','359530',0.498798609245569,0.891826570034027,0.441107304068282,0.889203803846613,0.641710022464395,0.0971505034249276,0.210309112211689,0.131113112671301
1.8,-0.9885,?,?,6.5142e-07,2.37e-05,2.1617,30.1,?,7.5,8.22,161,0.512,0.116582,'yes','yes','217805',0.348091722466052,0.64964260533452,0.242221417371184,0.336178314872086,0.262273004744202,0.158047385280952,0.720558039844036,0.472041851142421
3.425,-0.6565,?,?,?,?,2.0564,20.1,?,75.14,8.58,380,4.096,0.201207,'yes','yes','217704',0.838469113456085,0.200083125615492,0.606326406355947,0.114173404406756,0.66969840764068,0.220901174237952,0.095007663127035,0.205765109276399
2.4266,?,-2.3527,29.1842,2.6894e-06,4.512e-05,2.0252,27.5,?,361.92,7.4,215,1.024,0.0703095,'yes','yes','305288',0.359425557078794,0.336641462519765,0.674030670663342,0.948589567560703,0.651696451473981,0.314563363557681,0.409181651193649,0.125300085870549
0.383,-1.1211,?,92.0247,5.2607e-07,?,?,13.8,?,2.2,8.54,201,1.024,0.0386268,'yes','yes','299787',0.654587793862447,0.216859803302214,0.65518707735464,0.74325416632928,0.0732481116428971,0.720564501360059,0.693517205538228,0.836636668769643
0.617,-1.5818,?,117.696,1.7059e-05,?,?,24.9,?,254.74,14.22,1928,64,0.189871,'no','no','282066',0.0962554204743356,0.394539460074157,0.79526610369794,0.437435054685920,0.0668646262492985,0.88291369122453,0.153403674717993,0.342281128047034
2.198,-0.992,?,?,2.6587e-06,3.18e-05,2.1811,60,?,4.56,22.78,1485,1.024,0.0602667,'yes','yes','156467',0.769757827045396,0.146619407227263,0.237714976305142,0.596483254106715,0.714680899633095,0.316185684641823,0.57378045655787,0.340074638603255
1.23,-1.7095,?,58.1324,9.6733e-07,?,1.7887,17.2,-0.032,30.25,9.84,288,1.024,0.139003,'yes','yes','316204',0.847522393800318,0.774859063560143,0.811924146022648,0.737023349385709,0.731340647442266,0.360948281362653,0.28202225943096,0.551844960078597
1.261,-0.957,?,588.845,0.00011459,2.269e-05,2.122,330.4,0.118,74.9,15.62,384,1.024,0.0309487,'yes','yes','232683',0.572018662467599,0.827064604265615,0.394612432923168,0.615077185444534,0.66283194697462,0.655034740222618,0.739555297419429,0.229153387248516
2.374,-1.6678,?,65.0574,2.7841e-06,5.422e-05,1.8992,22.8,0.193,103.97,8.01,259,2.048,0.197561,'yes','yes','323898',0.319765666499734,0.478332941653207,0.199879392748699,0.066260146908462,0.186695297015831,0.761564160231501,0.343955294927582,0.0603457163088024
2.692,?,-2.268,26.845,1.103e-06,?,1.9224,15.9,?,187.18,9.48,455,4.096,0.151807,'yes','yes','295670',0.451852912316099,0.329099647467956,0.304146540118381,0.715776826255023,0.537842402234674,0.494348184671253,0.612177263945341,0.319200045662001
3.3,-1.7938,?,56.5312,8.9016e-07,?,1.9826,37.5,-0.011,6.54,8.2,231,1.024,0.110285,'yes','no','232339',0.283839002950117,0.153897227486596,0.898413368267938,0.536155376117676,0.480324526317418,0.727111502550542,0.205130239250138,0.470981711987406
0.703,-0.9957,?,?,1.8806e-06,3.161e-05,2.1399,34.2,?,171.04,8.68,162,0.512,0.143441,'yes','yes','228006',0.557523649884388,0.0935181453824043,0.611889234511182,0.554109552176669,0.375744433840737,0.143955423962325,0.348400584422052,0.218823330709711
2.69,-1.2209,?,?,2.8691e-06,?,2.2763,70,?,59.5,10.63,213,0.512,0.0854879,'yes','yes','313087',0.916863132501021,0.390995383495465,0.748889386188239,0.664695347426459,0.545312380418181,0.0541754313744605,0.893299489514902,0.467382142087445
6.29,-1.1718,?,322.601,1.2227e-05,0.0001329,1.8576,38.4,?,197.2,13.26,2820,64,0.148584,'no','no','153514',0.681417021434754,0.510277516208589,0.479625658364967,0.746948205633089,0.447795832995325,0.68206038326025,0.655899781500921,0.56756992591545
3.35,-1.7132,?,52.9634,6.1513e-07,?,2.905,12.5,-0.024,10.8,9.29,311,2.048,0.155611,'yes','yes','154112',0.586702527245507,0.143117784755304,0.732584143523127,0.491585402283818,0.186099037528038,0.880466821137816,0.189617488300428,0.589386834297329
1.1,-1.1896,?,69.0006,3.703e-06,9.997e-05,2.0197,64.4,0.095,7.04,23,1450,1.024,0.0172518,'yes','yes','309111',0.404588407371193,0.501213464420289,0.931539855897427,0.255194495664909,0.589383545797318,0.905101063195616,0.784719539340585,0.741379243321717
2.433,-1.56,?,109.165,5.8812e-06,?,2.1677,74.8,?,46.62,9.06,209,0.512,0.0953979,'yes','yes','309096',0.588450807379559,0.964566361624748,0.0402197493240237,0.445034550270066,0.675617080414668,0.0287062893621624,0.282704332610592,0.581702215829864
0.606,-0.83,?,81.5773,1.8614e-05,1.402e-05,1.9805,339.9,?,9.1,18,?,0.064,0.0123453,'yes','yes','130088',0.444122548215091,0.967331674648449,0.134488843381405,0.706532448995858,0.511698339367285,0.861464771209285,0.929603667696938,0.256722137564793
0.4428,-0.4666,?,33.4456,?,8.364e-06,2.7283,8.1,-0.054,8.37,9.39,437,4.096,0.052543,'yes','yes','209755',0.948010596446693,0.99467781279236,0.882803514134139,0.0431932106148452,0.616361532593146,0.97400296269916,0.457702650455758,0.388278480852023
1.545,?,-3.3547,19.0219,5.8137e-08,?,2.2331,8.3,?,2.97,?,?,?,0.0201623,?,'yes','312047',0.165649228496477,0.319142330437899,0.564421749906614,0.471393432468176,0.720157601172104,0.528698944719508,0.78357391548343,0.781997461803257
