@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
1.9685,-1.3028,?,?,?,4.207e-05,2.0758,50.7,?,?,10,382,2.048,0.0834827,0.206132,0.418599,0.682072,0.938463,'yes','yes',0.265897168777883,0.702513502677903,0.0352166439406574,0.0666744902264327,0.977220601635054,0.481835952727124,0.465921487892047,0.617670628242195,0.960688278544694,0.427911807317287
0.714,-1.0884,?,?,?,?,1.652,12.5,?,?,10.59,323,1.024,0.0133067,0.0488872,0.143924,0.347768,0.762541,'yes','no',0.447491343365982,0.84734161873348,0.213718123501167,0.386777565348893,0.385695091448724,0.509819377912208,0.109163489192724,0.817007433157414,0.692887701559812,0.346340119605884
3.35,-1.3129,?,?,?,4.212e-05,2.1127,57.9,?,?,7.59,196,1.024,0.0560711,0.154869,0.346069,0.612214,0.911683,'yes','yes',0.479862414067611,0.353434610646218,0.128286686493084,0.782861397136003,0.629999459022656,0.102061864687130,0.514445481589064,0.519132765475661,0.0599264490883797,0.82561665121466
3.082,-1.0137,?,?,?,0.0001379,1.623,50.7,?,?,14.77,490,1.024,0.0636628,0.17201,0.374006,0.6393,0.919891,'yes','yes',0.446441521169618,0.980640503577888,0.254293009405956,0.958673100918531,0.476518970914185,0.75571143720299,0.212389166699722,0.218738209456205,0.324513789499179,0.112606616690755
3.969,-1.3747,?,?,?,0.0002541,1.6063,13.2,?,?,10.96,1019,12.16,0.0654957,0.174661,0.376063,0.639687,0.920021,'yes','yes',0.362536365399137,0.208674606867135,0.556012969929725,0.604273502482101,0.229183135321364,0.217719394480810,0.426173436688259,0.247520192759112,0.0460044406354427,0.886719278991222
0.624,?,-2.0605,?,?,1.147e-05,1.9581,13.3,?,?,7.06,177,1.024,0.0380973,0.103983,0.238602,0.460428,0.82205,'yes','yes',0.089782805647701,0.146123439772055,0.766176727367565,0.0444912174716592,0.662040532100946,0.650280080037192,0.365748044336215,0.0347322549205273,0.348757200408727,0.414078074740246
1.37,-1.7718,?,?,?,2.256e-05,2.1949,14.3,?,?,11.42,236,0.512,0.0260667,0.0804666,0.203206,0.423225,0.804554,'yes','yes',0.542094484902918,0.765730688115582,0.347255648113787,0.244104182580486,0.569741658866405,0.769326969981194,0.657063651597127,0.562793186400086,0.852134331362322,0.118443359388039
1.063,-1.284,?,?,?,5.425e-05,2.1102,29.5,?,?,9.31,168,1.024,0.0105411,0.0332424,0.0889787,0.214785,0.621131,'yes','yes',0.810579385608435,0.426231609191746,0.947143922094256,0.732788868015632,0.873494090279564,0.366131566930562,0.370751788839698,0.969719592714682,0.312159613007680,0.99791856110096
1.71,-1.2432,?,?,?,7.828e-05,2.1489,55.8,?,?,17.7,520,1.024,0.0341287,0.103873,0.258009,0.516716,0.875929,'yes','yes',0.741416522301733,0.74545064335689,0.957937596132979,0.429899214534089,0.406490676803514,0.88867878401652,0.207078540232033,0.0427872294094414,0.269682281883433,0.0789830738212913
0.98,?,-2.1079,?,?,?,2.2627,7.5,?,?,7.17,374,4.096,0.0378806,0.104866,0.242588,0.468589,0.830227,'yes','no',0.470008777687326,0.582124628592283,0.69840952497907,0.287193686235696,0.596000832971185,0.221970022423193,0.0213612986262888,0.723520109662786,0.951439602300525,0.973390597151592
4.813,?,-2.0298,?,?,1.327e-05,2.0006,15.2,?,?,7.73,1502,64,0.0811021,0.194801,0.390114,0.637478,0.910938,'no','no',0.0264884612988681,0.680661900900304,0.649202892789617,0.637761154212058,0.370543711818755,0.877133203903213,0.615221964195371,0.372184278443456,0.378662744304165,0.70983485551551
3.076,-1.2316,?,?,?,?,2.1504,13,?,?,7.64,494,16.384,0.0327805,0.101077,0.250977,0.499725,0.859265,'yes','yes',0.488544751191512,0.691428660647944,0.78844990185462,0.0824286811985075,0.84347482654266,0.60643852269277,0.21520944358781,0.92967254226096,0.284979629563168,0.237524633528665
1.314,-1.3748,?,?,?,8.25e-05,1.9035,273.8,?,?,8.08,110,0.256,0.00845137,0.0321642,0.101671,0.281812,0.751098,'yes','yes',0.569456204539165,0.988145020557567,0.741202785633504,0.491427401313558,0.886355901835486,0.81535762338899,0.296126208733767,0.709236216032878,0.408857855014503,0.677618536166847
1.159,-1.1593,?,?,?,6.159e-05,1.8631,85.7,?,?,8.76,219,1.024,0.0181931,0.064142,0.18017,0.408481,0.811606,'yes','yes',0.0810351797845215,0.676657579140738,0.895377930253744,0.556360178627074,0.340643641538918,0.0763732206542045,0.0356613358017057,0.597826379118487,0.31501623429358,0.217562807258219
3,-1.6129,?,?,?,3.213e-05,2.1317,84.9,?,?,11.48,332,1.024,0.0414583,0.121287,0.28945,0.554073,0.892863,'yes','yes',0.101531820604578,0.117219363804907,0.889005131553859,0.286479495931417,0.638542260043323,0.303624760126695,0.63446023594588,0.216867464594543,0.812308745225891,0.929716011276469
1.489,-1.5457,?,?,?,?,1.9074,80.6,?,?,10.8,295,1.024,0.031608,0.0942382,0.233542,0.481025,0.868386,'yes','yes',0.219608199317008,0.820609032642096,0.343190614366904,0.946527329739183,0.924308174522594,0.470543062547222,0.515413960907608,0.185534338466823,0.387202358106151,0.221496758051217
2.625,-0.8031,?,?,?,8.603e-06,2.1515,17.7,?,?,8.87,1732,64,0.0873378,0.200246,0.391191,0.637879,0.919204,'no','yes',0.312868793029338,0.753685120027512,0.811165787512437,0.138996536610648,0.163976734736934,0.158018040237948,0.699789362959564,0.114308313699439,0.176825806964189,0.147147549549118
4.41,-1.008,?,?,?,?,2.0258,18,?,?,9.99,269,1.024,0.0507686,0.140174,0.313458,0.56318,0.881425,'yes','yes',0.942062179092318,0.342808191664517,0.461575496010482,0.555149628315121,0.123325266409665,0.696381086949259,0.200615842361003,0.644120397977531,0.220501425210387,0.986928144702688
2.737,-1.6963,?,?,?,?,2.0244,11.8,?,?,?,?,?,0.0437606,0.122711,0.281635,0.524851,0.863359,?,'yes',0.954961704323068,0.937312802299857,0.59685663273558,0.249895842978731,0.278601752128452,0.325968387071043,0.527120516635478,0.498766700737178,0.774145168252289,0.0763813336379826
